ID	家系	体重	性别
900202302007398	94	664	雄性
900202302004292	67	655	雄性
900202397201958	86	608	雄性
900202302004761	75	626	雄性
156020226011154	53	669	雄性
900202302005678	1	647	雄性
900202302004042	65	597	雄性
900202302007209	95	655	雄性
900202302003858	41	730	雄性
900202303000245	22	548	雄性
900202303000750	34	679	雄性
900202302007338	93	583	雄性
900202302004277	70	647	雄性
900202499109975	41	682	雄性
900202302007275	93	621	雄性
900202397201699	83	632	雄性
900202302004266	67	673	雄性
900202303000381	33	646	雄性
900202302005077	7	497	雄性
900202302007022	93	625	雄性
900202397201932	82	631	雄性
900202302004584	78	576	雄性
900202397201942	83	653	雄性
900202302005162	3	730	雄性
900202302004997	78	616	雄性
900202302004123	67	698	雄性
900202302005223	8	636	雄性
900202302005204	2	691	雄性
900202302004435	64	635	雄性
900202302005179	16	662	雄性
900202303000621	21	682	雄性
900202302005350	13	643	雄性
900202302005529	1	648	雄性
900202303000394	35	633	雄性
900202302004811	75	656	雄性
900202302005835	18	617	雄性
156020226010202	38	640	雄性
900202302007377	102	493	雄性
900202302005359	1	729	雄性
900202302005768	7	497	雄性
900202302005894	7	587	雄性
900202302005936	16	604	雄性
900202302004338	78	647	雄性
900202302005911	7	473	雄性
900202397201722	86	621	雄性
900202397201187	102	540	雄性
900202302005555	2	701	雄性
900202302005072	16	618	雄性
900202302005653	7	515	雄性
900202302005043	15	643	雄性
900202302005214	7	461	雄性
900202302005746	5	680	雄性
900219001208962	46	768	雄性
900202302007378	93	576	雄性
900202302003268	47	695	雄性
900202302005981	12	481	雄性
900202303000142	30	717	雄性
900202302005814	12	421	雄性
900202302006701	126	640	雄性
900202302004567	60	638	雄性
900202302005188	6	606	雄性
900202302003180	51	629	雄性
900202303000652	30	744	雄性
900202302005807	2	743	雄性
900202302004806	70	585	雄性
900202302007271	93	697	雄性
900202302003938	46	737	雄性
900202302005520	7	608	雄性
900202302003521	37	693	雄性
900202302005623	1	612	雄性
900202302004703	76	680	雄性
900202302004267	65	669	雄性
